%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1651108784441455636,5,1651108784440303671,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784491412848,6,1651108784490291924,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784541396465,7,1651108784540336217,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784591396071,8,1651108784590246970,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784641356772,9,1651108784640296524,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784691561636,10,1651108784690458837,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784741376297,11,1651108784740333132,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784791368872,12,1651108784790299354,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784841198793,13,1651108784840294533,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784891351522,14,1651108784890289921,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784941275296,15,1651108784940297652,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108784991348131,16,1651108784990302727,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785041333417,17,1651108785040304002,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785091570576,18,1651108785090548869,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785141427166,19,1651108785140339054,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785191386516,20,1651108785190232207,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785241272324,21,1651108785240236712,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785291239174,22,1651108785290170697,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785341208054,23,1651108785340217233,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785391504483,24,1651108785390273508,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785441432166,25,1651108785440299055,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785491535681,26,1651108785490280279,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785541387636,27,1651108785540329575,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785591428703,28,1651108785590273925,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785641216752,29,1651108785640232441,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785691464432,30,1651108785690414653,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785741476385,31,1651108785740299836,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785791420214,32,1651108785790262988,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785841243523,33,1651108785840266191,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785891314955,34,1651108785890270071,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785940942277,35,1651108785940161088,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108785990974646,36,1651108785990156114,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786041321129,37,1651108786040335307,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786091254596,38,1651108786090184765,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786141307229,39,1651108786140298803,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786191369601,40,1651108786190253885,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786241196872,41,1651108786240230789,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786291392836,42,1651108786290278526,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786341334741,43,1651108786340309180,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786391361749,44,1651108786390259001,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786441341778,45,1651108786440312155,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786491435608,46,1651108786490261351,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786541439960,47,1651108786540333879,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786591374625,48,1651108786590260680,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786641351686,49,1651108786640313261,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786691469422,50,1651108786690246103,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786741475388,51,1651108786740410609,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786791392189,52,1651108786790280119,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786841471488,53,1651108786840275825,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786891434747,54,1651108786890344135,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786941366287,55,1651108786940278748,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108786991382202,56,1651108786990227580,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787041307078,57,1651108787040293704,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787091617523,58,1651108787090321236,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787141347037,59,1651108787140320955,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787191472484,60,1651108787190276144,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787241302570,61,1651108787240305655,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787291507079,62,1651108787290290844,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787341121855,63,1651108787340217491,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787391334802,64,1651108787390268773,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787441174002,65,1651108787440236878,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787491497416,66,1651108787490443939,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787541364637,67,1651108787540321889,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787591447429,68,1651108787590298275,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787641111215,69,1651108787640201017,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787691556085,70,1651108787690312766,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787741306745,71,1651108787740306913,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787791379901,72,1651108787790283196,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787841331392,73,1651108787840303488,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787891462100,74,1651108787890309509,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787941340154,75,1651108787940272615,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108787991429196,76,1651108787990268376,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788041375012,77,1651108788040291639,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788091433275,78,1651108788090304330,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788141364353,79,1651108788140335094,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788191407200,80,1651108788190267213,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788241297809,81,1651108788240292300,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788291378051,82,1651108788290281398,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788341320900,83,1651108788340327057,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788391460204,84,1651108788390325009,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788441346230,85,1651108788440297961,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788491548971,86,1651108788490474400,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788541347966,87,1651108788540312041,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788591408521,88,1651108788590288639,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788641316630,89,1651108788640302007,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788691350519,90,1651108788690205585,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788741287899,91,1651108788740276973,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788791603034,92,1651108788790588463,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788841297396,93,1651108788840280637,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788891487637,94,1651108788890291870,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788941263456,95,1651108788940258051,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108788991378646,96,1651108788990269284,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789041289101,97,1651108789040292393,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789091496688,98,1651108789090437482,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789141331311,99,1651108789140287469,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789191355620,100,1651108789190281101,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789241364980,101,1651108789240328691,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789291518975,102,1651108789290503570,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789341531825,103,1651108789340427151,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789391354313,104,1651108789390324534,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789441343830,105,1651108789440275301,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789491576678,106,1651108789490309297,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789541310677,107,1651108789540275690,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789591423162,108,1651108789590296456,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789641320753,109,1651108789640294515,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789691483081,110,1651108789690325699,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789741322704,111,1651108789740276518,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789791392533,112,1651108789790280775,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789841351477,113,1651108789840309302,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789891024123,114,1651108789890136634,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789940877548,115,1651108789940122609,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108789991502058,116,1651108789990339259,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790041320486,117,1651108790040328466,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790092987591,118,1651108790090895792,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790141872228,119,1651108790140408651,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790191874977,120,1651108790190765094,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790241631375,121,1651108790240387795,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790291187358,122,1651108790290191953,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790341420886,123,1651108790340326420,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790392173522,124,1651108790390941141,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790441804244,125,1651108790440317491,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790491301531,126,1651108790490218679,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790541305634,127,1651108790540226688,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1651108790591194843,128,1651108790590205375,,0.0,0.0,0.012947007417096756,0.0,0.0,0.0,1.0
1651108790641350298,129,1651108790640318904,,0.0,0.0,0.06928109386838817,0.0,0.0,0.0,1.0
1651108790691772209,130,1651108790690630608,,0.0,0.0,0.1701124896476544,0.0,0.0,0.0,1.0
1651108790741427671,131,1651108790740335236,,0.0,0.0,0.29689735783564875,0.0,0.0,0.0,1.0
1651108790791677084,132,1651108790790646939,,0.0,0.0,0.41348776004718996,0.0,0.0,0.0,1.0
1651108790841587646,133,1651108790840309953,,0.0,0.0,0.5078995622724238,0.0,0.0,0.0,1.0
1651108790891524875,134,1651108790890505617,,0.0,0.0,0.5836449509386913,0.0,0.0,0.0,1.0
1651108790941576218,135,1651108790940314514,,0.0,0.0,0.6365605910619261,0.0,0.0,0.0,1.0
1651108790991802558,136,1651108790990597989,,0.0,0.0,0.6694771171979201,0.0,0.0,0.0,1.0
1651108791041601301,137,1651108791040283608,,0.0,0.0,0.6900257892203735,0.0,0.0,0.0,1.0
1651108791091479836,138,1651108791090329016,,0.0,0.0,0.7083435933903002,0.0,0.0,0.0,1.0
1651108791141651180,139,1651108791140266717,,0.0,0.0,0.7301591471839063,0.0,0.0,0.0,1.0
1651108791191747577,140,1651108791190685870,,0.0,0.0,0.7595758170213299,0.0,0.0,0.0,1.0
1651108791241403041,141,1651108791240319460,,0.0,0.0,0.7960414642823338,0.0,0.0,0.0,1.0
1651108791291748393,142,1651108791290463616,,0.0,0.0,0.8377515079575603,0.0,0.0,0.0,1.0
1651108791341297869,143,1651108791340285121,,0.0,0.0,0.881007589913466,0.0,0.0,0.0,1.0
1651108791391322704,144,1651108791390288289,,0.0,0.0,0.9211132185034949,0.0,0.0,0.0,1.0
1651108791441489621,145,1651108791440430206,,0.0,0.0,0.9547919493324151,0.0,0.0,0.0,1.0
1651108791491597424,146,1651108791490322439,,0.0,0.0,0.9800478972537621,0.0,0.0,0.0,1.0
1651108791541414032,147,1651108791540373732,,0.0,0.0,0.9969196537350973,0.0,0.0,0.0,1.0
1651108791591773499,148,1651108791590292631,,0.0,0.0,1.0070613155172052,0.0,0.0,0.0,1.0
1651108791641621773,149,1651108791640273977,,0.0,0.0,1.0126128308644986,0.0,0.0,0.0,1.0
1651108791691555516,150,1651108791690430164,,0.0,0.0,1.016355536278585,0.0,0.0,0.0,1.0
1651108791741620090,151,1651108791740292293,,0.0,0.0,1.0205103160792939,0.0,0.0,0.0,1.0
